,count,count_conflict,size,n_scheduler_delay,n_uncertainty_delay
00:54:00,4,0,0,0,0
00:54:30,4,0,0,0,0
00:55:00,4,0,0,0,0
00:55:30,4,0,0,0,0
00:56:00,4,0,0,0,0
00:56:30,4,0,0,0,0
00:57:00,4,0,0,0,0
00:57:30,5,0,0,0,0
00:58:00,5,0,0,0,0
00:58:30,5,0,0,0,0
00:59:00,4,0,0,0,0
00:59:30,4,0,0,0,0
01:00:00,4,0,0,0,0
01:00:30,4,0,0,0,0
01:01:00,4,0,0,0,0
01:01:30,4,0,0,0,0
01:02:00,4,0,0,0,0
01:02:30,4,0,0,0,0
01:03:00,4,0,0,0,0
01:03:30,4,0,0,0,0
01:04:00,4,0,0,0,0
01:04:30,4,0,0,0,1
01:05:00,4,0,0,0,0
01:05:30,4,0,0,0,0
01:06:00,4,0,0,0,0
01:06:30,4,0,0,0,0
01:07:00,4,0,0,0,0
01:07:30,4,0,0,0,0
01:08:00,4,0,0,0,0
01:08:30,4,0,0,0,0
01:09:00,3,0,0,0,0
01:09:30,4,0,0,0,0
01:10:00,4,0,0,0,0
01:10:30,3,0,0,0,0
01:11:00,3,0,0,0,0
01:11:30,3,0,0,0,0
01:12:00,3,0,0,0,0
01:12:30,3,0,0,0,0
01:13:00,3,0,0,0,0
01:13:30,4,0,0,0,0
01:14:00,4,0,0,0,0
01:14:30,4,0,0,0,0
01:15:00,4,0,0,0,0
01:15:30,4,0,0,0,0
01:16:00,4,0,0,0,0
01:16:30,4,0,0,0,0
01:17:00,4,0,0,0,0
01:17:30,3,0,0,0,0
01:18:00,3,0,0,0,0
01:18:30,3,0,0,0,0
01:19:00,3,0,0,0,0
01:19:30,3,0,0,0,0
01:20:00,3,0,0,0,0
01:20:30,3,0,0,0,0
01:21:00,3,0,0,0,0
01:21:30,3,0,0,0,0
01:22:00,3,0,0,0,0
01:22:30,3,0,0,0,0
01:23:00,3,0,0,0,0
01:23:30,3,0,0,0,0
01:24:00,3,0,0,0,0
01:24:30,4,0,0,0,0
01:25:00,4,0,0,0,0
01:25:30,4,0,0,0,0
01:26:00,4,0,0,0,0
01:26:30,4,0,0,0,0
01:27:00,4,0,0,0,0
01:27:30,3,0,0,0,0
01:28:00,3,0,0,0,0
01:28:30,3,0,0,0,0
01:29:00,3,0,0,0,0
01:29:30,4,0,0,0,0
01:30:00,4,0,0,0,0
01:30:30,3,0,0,0,0
01:31:00,3,0,0,0,0
01:31:30,3,0,0,0,0
01:32:00,3,0,0,0,0
01:32:30,3,0,0,0,0
01:33:00,3,0,0,0,0
01:33:30,4,0,0,0,0
01:34:00,4,0,0,0,0
01:34:30,4,0,0,0,0
01:35:00,3,0,0,0,0
01:35:30,3,0,0,0,0
01:36:00,3,0,0,0,0
01:36:30,3,0,0,0,0
01:37:00,3,0,0,0,0
01:37:30,4,0,0,0,0
01:38:00,4,0,0,0,0
01:38:30,4,0,0,0,0
01:39:00,4,0,0,0,0
