,expr_var,failed,nth
304,0.1,0.0,4.0
305,0.1,7.0,5.0
306,0.1,49.0,6.0
307,0.1,97.0,7.0
308,0.1,10.0,8.0
309,0.1,36.0,9.0
310,0.1,24.0,10.0
311,0.1,10.0,11.0
312,0.1,6.0,12.0
313,0.1,8.0,13.0
314,0.1,19.0,14.0
315,0.1,114.0,15.0
316,0.1,12.0,16.0
317,0.1,0.0,17.0
318,0.1,6.0,18.0
319,0.1,177.0,19.0
320,0.1,37.0,20.0
321,0.1,34.0,21.0
322,0.1,33.0,22.0
323,0.1,30.0,23.0
324,0.1,14.0,24.0
325,0.1,73.0,25.0
326,0.1,160.0,26.0
327,0.1,72.0,27.0
328,0.1,37.0,28.0
329,0.1,0.0,29.0
